stage,target,model,train_start,train_end,val_start,val_end,n_train,n_val,rmse,mae,direction_accuracy,prediction_kind,is_change,horizon_days,preds_csv
stage1_demand,label__demand__保险__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,18.742077287778265,14.093227664748005,0.4775510204081633,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__保险__t+20.csv
stage1_demand,label__demand__保险__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,18.60663396228671,14.131812094629295,0.42857142857142855,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__保险__t+20.csv
stage1_demand,label__demand__其他__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,76.27899928629834,61.48918286428861,0.5224489795918368,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__其他__t+20.csv
stage1_demand,label__demand__其他__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,70.8573191422608,55.60371781965581,0.5020408163265306,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__其他__t+20.csv
stage1_demand,label__demand__券商__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,80.09162760597665,63.593977597948715,0.5469387755102041,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__券商__t+20.csv
stage1_demand,label__demand__券商__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,89.1609116897455,68.43002892031416,0.5061224489795918,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__券商__t+20.csv
stage1_demand,label__demand__基金__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,145.36960362870278,111.01013454891714,0.5102040816326531,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__基金__t+20.csv
stage1_demand,label__demand__基金__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,143.8746377811426,111.96513291188373,0.5265306122448979,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__基金__t+20.csv
stage1_demand,label__demand__理财子__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,2.5793231616874746,1.9123720491283827,0.375,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__理财子__t+20.csv
stage1_demand,label__demand__理财子__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,4.377827039615547,3.39913600434799,0.34375,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__理财子__t+20.csv
stage1_demand,label__demand__银行__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,241.52154375558527,189.4609540355583,0.47346938775510206,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__银行__t+20.csv
