date,yield_10y,macro_day__总发行量(亿元),macro_day__发行只数,macro_day__总偿还量(亿元),macro_day__净融资额(亿元),macro_day__到期偿还量(亿元),macro_day__到期只数,macro_day__提前兑付量(亿元),macro_day__提前兑付只数,macro_day__回售量(亿元),macro_day__回售只数,macro_day__赎回量(亿元),macro_day__赎回只数,macro_day__现金要约金额(亿元),macro_day__现金要约只数,macro_week__中国:日均产量:粗钢,macro_week__唐山:高炉开工率,macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,macro_week__中国:开工率:汽车轮胎(全钢胎),macro_week__中国:开工率:汽车轮胎(半钢胎),macro_week__义乌中国小商品指数:总价格指数,"macro_week__中国:日均销量(当周,厂家零售):乘用车",macro_week__中国:票房收入:电影,macro_week__中国:30大中城市:成交面积:商品房,macro_week__中国:100大中城市:成交土地占地面积:当周值,macro_week__中国:开工率:石油沥青装置,macro_week__中国:水泥价格指数,macro_week__中国出口集装箱运价指数:综合指数,macro_week__上海出口集装箱运价指数:综合指数,macro_week__波罗的海货运指数,macro_week__中国食用农产品价格指数,macro_week__中国:平均批发价:猪肉,macro_week__中国:生产资料价格指数,macro_week__期货结算价(连续):布伦特原油,trade__net__gov_new,trade__net__gov_old,trade__net__policy_new,trade__net__policy_old,trade__buy__gov_new,trade__buy__gov_old,trade__buy__policy_new,trade__buy__policy_old,trade__sell__gov_new,trade__sell__gov_old,trade__sell__policy_new,trade__sell__policy_old,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+1,label__yield_10y_chg__t+1
2020-08-17,2.9421,187.3,3,200.6,-13.3,200.6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7584.69,53.08,0.0,0.0,137.65,0.0,0.0,0.0,0.0,48.41,0.0,45.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9369,,2.9771,0.03500000000000014
2020-08-18,2.9771,249.5,6,0.0,249.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7367.83,60.62,0.0,0.0,138.16,0.0,0.0,0.0,0.0,48.08,0.0,45.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9421,,2.9921,0.015000000000000124
2020-08-19,2.9921,891.8,4,0.0,891.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7776.76,68.23,0.0,57.7,138.26,0.0,0.0,0.0,0.0,48.18,0.0,45.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9771,,2.9973,0.005199999999999871
2020-08-20,2.9973,521.4,7,0.0,521.4,0.0,0,0,0,0,0,0,0,0,0,298.16,0.0,66.63,74.31,69.92,0.0,0,8005.8,69.4,0.0,0.0,138.74,0.0,0.0,0.0,0.0,48.1,0.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9921,,2.9823,-0.015000000000000124
2020-08-21,2.9823,357.3,4,0.0,357.3,0.0,0,0,0,0,0,0,0,0,0,0.0,75.08,0.0,0.0,0.0,0.0,0,15804.4,71.99,0.0,0.0,138.51,885.46,1183.7,1912.56,139.27,48.4,88.97,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9973,2.9369,2.9998,0.01750000000000007
2020-08-24,2.9998,144.3,2,200.2,-55.9,200.2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17188.98,60.52,0.0,0.0,139.32,0.0,0.0,0.0,0.0,48.07,0.0,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9823,2.9421,3.0424,0.04260000000000019
2020-08-25,3.0424,210.0,5,0.0,210.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,52167.01,68.55,0.0,0.0,139.58,0.0,0.0,0.0,0.0,48.4,0.0,45.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9998,2.9771,3.0511,0.008699999999999708
2020-08-26,3.0511,225.0,4,200.0,25.0,200.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21044.44,68.21,0.0,57.0,139.66,0.0,0.0,0.0,0.0,48.03,0.0,45.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0424,2.9921,3.0599,0.008799999999999919
2020-08-27,3.0599,520.0,7,0.0,520.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,68.42,74.48,69.72,0.0,0,17343.59,68.94,0.0,0.0,140.33,0.0,0.0,0.0,0.0,48.57,0.0,45.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0511,2.9973,3.0672,0.007300000000000306
2020-08-28,3.0672,240.5,3,590.0,-349.5,590.0,1,0,0,0,0,0,0,0,0,0.0,74.27,0.0,0.0,0.0,0.0,0,17811.8,78.36,0.0,0.0,140.6,905.23,1263.26,1945.87,139.83,48.41,89.15,45.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0599,2.9823,3.0177,-0.0495000000000001
