date,yield_10y,stage1_pred__liquidity__dr001__t+20,stage1_pred__liquidity__dr007__t+20,stage1_pred__liquidity__r001__t+20,stage1_pred__liquidity__r007__t+20,stage1_pred__liquidity__fr007__t+20,stage1_pred__liquidity__gc001__t+20,stage1_pred__liquidity__gc007__t+20,stage1_pred__liquidity__spread_r007_dr007__t+20,stage1_pred__liquidity__spread_gc007_r007__t+20,stage1_pred__liquidity__spread_fr007_r007__t+20,stage1_pred__demand__银行__t+20,stage1_pred__demand__基金__t+20,stage1_pred__demand__保险__t+20,stage1_pred__demand__券商__t+20,stage1_pred__demand__理财子__t+20,stage1_pred__demand__其他__t+20,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,feat__yield_10y__lag1,feat__yield_10y__lag5,label__yield_10y__t+20
2020-08-17,2.9421,1.5509113,2.0938697,1.6075151,2.2281384,2.1882184,2.5869813,2.4762063,0.11108325,0.16208693,-0.0053681596,-0.8667897,0.47323513,1.4721135,1.2326585,0.14028087,-0.030861398,100.0,1500.0,1400.0,,,2.9369,,3.1532
2020-08-18,2.9771,1.624616,2.1085947,1.7438304,2.2125902,2.2158346,2.4465404,2.4374797,0.10014965,0.07307126,0.0043648276,-1.060759,0.5685019,1.356755,0.41797978,-0.42660078,-0.14543843,100.0,1600.0,1500.0,,,2.9421,,3.1083
2020-08-19,2.9921,1.4287301,2.1534438,1.5135684,2.3129895,2.2364385,2.5979218,2.4593909,0.1579033,0.010518835,-0.079158224,-0.4925777,-0.4378354,-0.03913943,0.09226515,-0.039904788,-0.7486871,500.0,2000.0,1500.0,,,2.9771,,3.126
2020-08-20,2.9973,1.811156,2.2093973,1.9051093,2.3124352,2.2643828,2.7899451,2.798346,0.11676756,-0.0154621815,-0.0695307,-2.2406428,0.48839,0.04636013,0.0869149,0.0029536667,0.13135242,1100.0,1600.0,500.0,3.85,4.65,2.9921,,3.1334
2020-08-21,2.9823,2.0951371,2.2267501,2.1967466,2.3773289,2.2743974,2.8118165,2.5393565,0.15575242,-0.035231598,-0.09758907,-7.5034156,7.313962,-0.3181098,-5.34147,-0.04838182,0.31492245,2000.0,3000.0,1000.0,3.85,4.65,2.9973,2.9369,3.1162
2020-08-24,2.9998,2.2289827,2.2623503,2.3555076,2.4755547,2.3908625,2.9076047,2.6977897,0.27551937,0.15788442,-0.1179747,-0.44647762,0.94742435,0.009492607,0.29875562,-0.23860371,0.38558447,550.0,2050.0,1500.0,3.85,4.65,2.9823,2.9421,3.0999
2020-08-25,3.0424,2.105942,2.3433344,2.3171346,2.753588,2.4409807,2.560366,2.5008066,0.3684818,0.0049231565,-0.25565773,0.68096364,-1.3169321,0.063224584,-0.9796351,-0.17469619,-0.31000376,-650.0,1000.0,1650.0,3.85,4.65,2.9998,2.9771,3.0863
2020-08-26,3.0511,1.8798523,2.1213517,1.9153332,2.8448212,2.2340732,2.4312544,2.3997583,0.7891671,0.009833775,-0.6801309,1.593222,0.8490461,-0.09801669,-2.0944605,-0.16197772,-0.010865605,-1000.0,500.0,1500.0,3.85,4.65,3.0424,2.9921,3.089
2020-08-27,3.0599,1.4233509,2.0998518,1.5238937,2.3512917,2.1435282,2.3089805,2.4503636,0.2758163,0.0021298523,-0.22712593,0.017822951,1.2175461,0.04969919,-0.5951756,0.064512715,-0.2179872,-800.0,200.0,1000.0,3.85,4.65,3.0511,2.9973,3.084
2020-08-28,3.0672,1.1289756,1.7826831,1.1194949,2.2035635,2.0328403,2.314777,2.4615455,0.38430348,-0.10049723,-0.1733802,-1.7351865,1.809656,0.35212368,0.69090813,0.11976694,-0.1503403,-2300.0,200.0,2500.0,3.85,4.65,3.0599,2.9823,3.1295
2020-08-31,3.0177,0.7417164,1.9726652,0.76705027,2.0448186,1.9601145,2.8498933,2.598604,0.106482305,0.18244836,-0.16169044,-0.5500432,0.636108,0.11653681,0.5156223,-0.13845584,0.40064242,-1800.0,200.0,2000.0,3.85,4.65,3.0672,2.9998,3.1324
2020-09-01,3.0478,0.84207225,2.2558205,0.94816816,2.117786,2.41541,2.255543,2.383367,-0.1356754,0.027009422,0.35199666,-1.323366,0.9553705,0.15964012,0.28440043,0.071035914,0.079996705,200.0,1200.0,1000.0,3.85,4.65,3.0177,3.0424,3.1092
2020-09-02,3.1027,0.97694844,2.3194928,1.1009107,2.61843,2.403438,2.546571,2.476596,0.25735268,0.22779681,-0.18117699,-0.56435394,-0.039020758,-0.13123505,0.07906964,-0.019437632,-0.21328744,0.0,1000.0,1000.0,3.85,4.65,3.0478,3.0511,3.1292
2020-09-03,3.1051,2.212408,2.325334,2.332337,2.8294816,2.3820925,2.2691596,2.3686397,0.4699043,-0.011433968,-0.42568335,-0.96092,1.0243676,0.03942589,0.27367514,0.07897512,-0.24666055,200.0,1000.0,800.0,3.85,4.65,3.1027,3.0599,3.1482
2020-09-04,3.1228,1.9802781,2.193007,2.0197415,2.467721,2.273278,2.3686652,2.4408648,0.29346764,-0.07160343,-0.24845621,-0.6046889,0.4825644,-0.15128608,-0.14211978,0.027701775,0.14469254,1000.0,1700.0,700.0,3.85,4.65,3.1051,3.0672,3.1873
2020-09-07,3.1454,1.6588978,2.072418,1.7056228,2.3712094,2.142353,2.4671736,2.4691536,0.26516667,0.15596937,-0.22717266,-0.043755453,0.23342496,-0.03897774,-0.714937,0.052490313,0.16419724,1000.0,1200.0,200.0,3.85,4.65,3.1228,3.0177,3.1898
2020-09-08,3.123,1.6297629,2.0086036,1.7002391,2.1335337,2.1962967,2.5028968,2.4970412,0.0982106,0.3476675,0.051146485,-4.834265,1.0317888,0.018070458,1.8906116,0.07134609,0.42210922,200.0,1400.0,1200.0,3.85,4.65,3.1454,3.0478,3.1861
2020-09-09,3.0805,1.7118311,2.0658717,1.7851875,2.2310784,2.1833754,2.5003455,2.568312,0.18000379,0.3335191,-0.09900644,2.1117442,-0.27474245,0.023495331,-0.112630844,-0.019045321,-0.55690825,-100.0,900.0,1000.0,3.85,4.65,3.123,3.1027,3.195
2020-09-10,3.0833,1.9588901,2.1314223,2.0112603,2.2520323,2.2203183,2.7397199,2.7459056,0.12383943,0.46529758,-0.05062643,-1.2395444,-1.0584784,-0.07185009,-0.3548863,-0.046476107,0.35563448,-200.0,800.0,1000.0,3.85,4.65,3.0805,3.1051,3.215
2020-09-11,3.1346,2.0054355,2.1968884,2.0848665,2.3429759,2.3212986,2.6516519,2.7072093,0.18542232,0.38657156,-0.024873625,1.6248796,-0.18106622,-0.092669986,-0.018832512,-0.14742695,0.9571873,-1700.0,0.0,1700.0,3.85,4.65,3.0833,3.1228,3.23
2020-09-14,3.1532,2.0001156,2.1701708,2.0607543,2.3421504,2.2492266,2.6153407,2.6958442,0.17754571,0.34054378,-0.07335206,-0.016315307,0.18880415,0.12025446,0.42220637,0.054754946,0.17422396,0.0,1200.0,1200.0,3.85,4.65,3.1346,3.1454,3.2202
2020-09-15,3.1083,2.0891833,2.19092,2.1359515,2.3204646,2.266956,2.4426558,2.6505678,0.11277155,0.32511038,-0.024656625,-0.53152466,0.32427022,0.074211255,-0.7062254,0.0433469,0.12209132,-300.0,1100.0,1400.0,3.85,4.65,3.1532,3.123,3.2005
