date,institution_name,category,net_buy
2023-01-03,保险公司,保险,-18.46
2023-01-03,其他,其他,-3.7199999999999998
2023-01-03,其他产品类,其他,14.239999999999998
2023-01-03,证券公司,券商,-34.519999999999996
2023-01-03,基金公司及产品,基金,13.27
2023-01-03,货币市场基金,基金,0.0
2023-01-03,理财子公司及理财类产品,理财子,16.57
2023-01-03,农村金融机构,银行,24.32
2023-01-03,城市商业银行,银行,9.67
2023-01-03,外资银行,银行,3.7600000000000002
2023-01-03,大型商业银行/政策性银行,银行,1.15
2023-01-03,股份制商业银行,银行,-26.28
2023-01-04,保险公司,保险,-26.46
2023-01-04,其他,其他,-3.2500000000000004
2023-01-04,其他产品类,其他,25.32
2023-01-04,证券公司,券商,8.14
2023-01-04,基金公司及产品,基金,7.359999999999999
2023-01-04,货币市场基金,基金,0.0
2023-01-04,理财子公司及理财类产品,理财子,-9.3
2023-01-04,农村金融机构,银行,-44.760000000000005
2023-01-04,城市商业银行,银行,14.69
2023-01-04,外资银行,银行,11.91
2023-01-04,大型商业银行/政策性银行,银行,2.9699999999999998
2023-01-04,股份制商业银行,银行,13.379999999999999
2023-01-05,保险公司,保险,-16.81
2023-01-05,其他,其他,-17.869999999999997
2023-01-05,其他产品类,其他,30.270000000000003
2023-01-05,证券公司,券商,11.459999999999999
2023-01-05,基金公司及产品,基金,7.520000000000001
2023-01-05,货币市场基金,基金,0.0
2023-01-05,理财子公司及理财类产品,理财子,-6.21
2023-01-05,农村金融机构,银行,-12.149999999999999
2023-01-05,城市商业银行,银行,19.35
2023-01-05,外资银行,银行,8.16
2023-01-05,大型商业银行/政策性银行,银行,18.240000000000002
2023-01-05,股份制商业银行,银行,-41.95
2023-01-06,保险公司,保险,0.9299999999999999
2023-01-06,其他,其他,15.430000000000001
2023-01-06,其他产品类,其他,5.669999999999999
2023-01-06,证券公司,券商,-70.02
2023-01-06,基金公司及产品,基金,35.4
2023-01-06,货币市场基金,基金,0.0
2023-01-06,理财子公司及理财类产品,理财子,-10.68
2023-01-06,农村金融机构,银行,79.74000000000001
2023-01-06,城市商业银行,银行,6.58
2023-01-06,外资银行,银行,-5.13
2023-01-06,大型商业银行/政策性银行,银行,13.66
2023-01-06,股份制商业银行,银行,-71.58
2023-01-09,保险公司,保险,-11.879999999999999
2023-01-09,其他,其他,17.94
2023-01-09,其他产品类,其他,-26.71
2023-01-09,证券公司,券商,1.1400000000000006
2023-01-09,基金公司及产品,基金,-10.78
2023-01-09,货币市场基金,基金,0.0
2023-01-09,理财子公司及理财类产品,理财子,-1.6500000000000001
2023-01-09,农村金融机构,银行,42.39
2023-01-09,城市商业银行,银行,3.24
2023-01-09,外资银行,银行,-14.469999999999999
2023-01-09,大型商业银行/政策性银行,银行,14.5
2023-01-09,股份制商业银行,银行,-13.690000000000001
2023-01-10,保险公司,保险,6.3
2023-01-10,其他,其他,5.050000000000001
2023-01-10,其他产品类,其他,24.299999999999997
2023-01-10,证券公司,券商,-58.0
2023-01-10,基金公司及产品,基金,-38.97
2023-01-10,货币市场基金,基金,0.0
2023-01-10,理财子公司及理财类产品,理财子,-0.71
2023-01-10,农村金融机构,银行,78.82
2023-01-10,城市商业银行,银行,3.46
2023-01-10,外资银行,银行,6.26
2023-01-10,大型商业银行/政策性银行,银行,33.61
2023-01-10,股份制商业银行,银行,-60.089999999999996
2023-01-11,保险公司,保险,5.7700000000000005
2023-01-11,其他,其他,13.96
2023-01-11,其他产品类,其他,-39.5
2023-01-11,证券公司,券商,35.17
2023-01-11,基金公司及产品,基金,-92.17
2023-01-11,货币市场基金,基金,0.0
2023-01-11,理财子公司及理财类产品,理财子,-0.050000000000000044
2023-01-11,农村金融机构,银行,181.06
2023-01-11,城市商业银行,银行,-15.459999999999999
2023-01-11,外资银行,银行,17.79
2023-01-11,大型商业银行/政策性银行,银行,4.970000000000001
2023-01-11,股份制商业银行,银行,-111.55
2023-01-12,保险公司,保险,10.67
2023-01-12,其他,其他,-0.5699999999999998
2023-01-12,其他产品类,其他,-4.369999999999999
2023-01-12,证券公司,券商,6.67
2023-01-12,基金公司及产品,基金,-5.479999999999999
2023-01-12,货币市场基金,基金,0.0
2023-01-12,理财子公司及理财类产品,理财子,4.2299999999999995
2023-01-12,农村金融机构,银行,26.080000000000002
2023-01-12,城市商业银行,银行,-19.53
2023-01-12,外资银行,银行,12.0
2023-01-12,大型商业银行/政策性银行,银行,13.25
2023-01-12,股份制商业银行,银行,-42.97
2023-01-13,保险公司,保险,1.29
2023-01-13,其他,其他,-0.24000000000000005
2023-01-13,其他产品类,其他,6.91
2023-01-13,证券公司,券商,-24.5
2023-01-13,基金公司及产品,基金,-20.34
2023-01-13,货币市场基金,基金,0.0
2023-01-13,理财子公司及理财类产品,理财子,-13.27
2023-01-13,农村金融机构,银行,79.19
2023-01-13,城市商业银行,银行,-4.87
2023-01-13,外资银行,银行,-7.960000000000001
2023-01-13,大型商业银行/政策性银行,银行,-0.3699999999999987
2023-01-13,股份制商业银行,银行,-15.83
2023-01-16,保险公司,保险,7.7299999999999995
2023-01-16,其他,其他,1.88
2023-01-16,其他产品类,其他,3.030000000000001
2023-01-16,证券公司,券商,-97.97
2023-01-16,基金公司及产品,基金,-81.65
2023-01-16,货币市场基金,基金,0.0
2023-01-16,理财子公司及理财类产品,理财子,-1.8199999999999998
2023-01-16,农村金融机构,银行,208.55
2023-01-16,城市商业银行,银行,11.030000000000001
2023-01-16,外资银行,银行,6.380000000000001
2023-01-16,大型商业银行/政策性银行,银行,8.75
2023-01-16,股份制商业银行,银行,-65.9
2023-01-17,保险公司,保险,2.1100000000000003
