date,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y
2020-08-14,500.0,1000.0,500.0,,
2020-08-17,100.0,1500.0,1400.0,,
2020-08-18,100.0,1600.0,1500.0,,
2020-08-19,500.0,2000.0,1500.0,,
2020-08-20,1100.0,1600.0,500.0,3.85,4.65
2020-08-21,2000.0,3000.0,1000.0,3.85,4.65
2020-08-24,550.0,2050.0,1500.0,3.85,4.65
2020-08-25,-650.0,1000.0,1650.0,3.85,4.65
2020-08-26,-1000.0,500.0,1500.0,3.85,4.65
2020-08-27,-800.0,200.0,1000.0,3.85,4.65
2020-08-28,-2300.0,200.0,2500.0,3.85,4.65
2020-08-31,-1800.0,200.0,2000.0,3.85,4.65
2020-09-01,200.0,1200.0,1000.0,3.85,4.65
2020-09-02,0.0,1000.0,1000.0,3.85,4.65
2020-09-03,200.0,1000.0,800.0,3.85,4.65
2020-09-04,1000.0,1700.0,700.0,3.85,4.65
2020-09-07,1000.0,1200.0,200.0,3.85,4.65
2020-09-08,200.0,1400.0,1200.0,3.85,4.65
2020-09-09,-100.0,900.0,1000.0,3.85,4.65
2020-09-10,-200.0,800.0,1000.0,3.85,4.65
2020-09-11,-1700.0,0.0,1700.0,3.85,4.65
2020-09-14,0.0,1200.0,1200.0,3.85,4.65
2020-09-15,-300.0,1100.0,1400.0,3.85,4.65
2020-09-16,800.0,1700.0,900.0,3.85,4.65
2020-09-17,600.0,1400.0,800.0,3.85,4.65
2020-09-18,3500.0,3500.0,0.0,3.85,4.65
2020-09-21,800.0,2000.0,1200.0,3.85,4.65
2020-09-22,100.0,1200.0,1100.0,3.85,4.65
2020-09-23,-200.0,900.0,1100.0,3.85,4.65
2020-09-24,200.0,200.0,0.0,3.85,4.65
2020-09-25,-650.0,400.0,1050.0,3.85,4.65
2020-09-27,-950.0,1050.0,2000.0,3.85,4.65
2020-09-28,-500.0,500.0,1000.0,3.85,4.65
2020-09-29,-5600.0,0.0,5600.0,3.85,4.65
2020-09-30,0.0,0.0,0.0,3.85,4.65
2020-10-09,-600.0,0.0,600.0,3.85,4.65
2020-10-10,-1000.0,0.0,1000.0,3.85,4.65
2020-10-12,-500.0,0.0,500.0,3.85,4.65
2020-10-13,500.0,500.0,0.0,3.85,4.65
2020-10-14,500.0,500.0,0.0,3.85,4.65
2020-10-15,500.0,500.0,0.0,3.85,4.65
2020-10-16,700.0,700.0,0.0,3.85,4.65
2020-10-19,800.0,800.0,0.0,3.85,4.65
2020-10-20,0.0,500.0,500.0,3.85,4.65
2020-10-21,200.0,700.0,500.0,3.85,4.65
2020-10-22,0.0,500.0,500.0,3.85,4.65
2020-10-23,300.0,1000.0,700.0,3.85,4.65
2020-10-26,350.0,1200.0,850.0,3.85,4.65
2020-10-27,900.0,1400.0,500.0,3.85,4.65
2020-10-28,350.0,1050.0,700.0,3.85,4.65
2020-10-29,0.0,500.0,500.0,3.85,4.65
2020-10-30,200.0,1200.0,1000.0,3.85,4.65
2020-11-02,0.0,1200.0,1200.0,3.85,4.65
2020-11-03,-1100.0,300.0,1400.0,3.85,4.65
