R_日期,DR001,DR007,R001,Unnamed: 4,R007_日期,R007,Unnamed: 7,FR007_日期,FR007,Unnamed: 10,GC_日期,GC001:收盘价,GC007:收盘价,Unnamed: 14,货币日期,中国:公开市场操作:货币净投放,中国:公开市场操作:货币投放,中国:公开市场操作:货币回笼
2025-08-13,1.3164,1.4522,1.3491,,2025-08-13,1.4715,,2025-08-13,1.48,,2025-08-13,1.435,1.475,,2025-08-13,-200.0,1185.0,1385.0
2025-08-12,1.3162,1.4444,1.3486,,2025-08-12,1.4619,,2025-08-12,1.46,,2025-08-12,1.48,1.485,,2025-08-12,-461.0,1146.0,1607.0
2025-08-11,1.3144,1.4404,1.3458,,2025-08-11,1.4537,,2025-08-11,1.46,,2025-08-11,1.5,1.48,,2025-08-11,-4328.0,1120.0,5448.0
2025-08-08,1.3116,1.4251,1.3413,,2025-08-08,1.4538,,2025-08-08,1.46,,2025-08-08,1.185,1.435,,2025-08-08,-40.0,1220.0,1260.0
2025-08-07,1.3151,1.4515,1.3503,,2025-08-07,1.4809,,2025-08-07,1.49,,2025-08-07,1.025,1.425,,2025-08-07,-1225.0,1607.0,2832.0
2025-08-06,1.3153,1.4557,1.3482,,2025-08-06,1.4732,,2025-08-06,1.48,,2025-08-06,1.5,1.49,,2025-08-06,-1705.0,1385.0,3090.0
2025-08-05,1.3143,1.4445,1.3462,,2025-08-05,1.4654,,2025-08-05,1.47,,2025-08-05,1.545,1.485,,2025-08-05,-2885.0,1607.0,4492.0
2025-08-04,1.3146,1.4518,1.3512,,2025-08-04,1.4755,,2025-08-04,1.48,,2025-08-04,1.305,1.455,,2025-08-04,490.0,5448.0,4958.0
2025-08-01,1.3139,1.4242,1.3545,,2025-08-01,1.4864,,2025-08-01,1.5,,2025-08-01,1.29,1.46,,2025-08-01,-6633.0,1260.0,7893.0
2025-07-31,1.3957,1.5542,1.5634,,2025-07-31,1.5806,,2025-07-31,1.6,,2025-07-31,1.03,1.43,,2025-07-31,-478.0,2832.0,3310.0
2025-07-30,1.3152,1.5176,1.3642,,2025-07-30,1.6113,,2025-07-30,1.63,,2025-07-30,1.78,1.625,,2025-07-30,1585.0,3090.0,1505.0
2025-07-29,1.3633,1.5643,1.3989,,2025-07-29,1.6121,,2025-07-29,1.62,,2025-07-29,1.66,1.675,,2025-07-29,2344.0,4492.0,2148.0
2025-07-28,1.4621,1.5806,1.4907,,2025-07-28,1.6264,,2025-07-28,1.64,,2025-07-28,1.345,1.605,,2025-07-28,3251.0,4958.0,1707.0
2025-07-25,1.5174,1.6523,1.5522,,2025-07-25,1.6937,,2025-07-25,1.75,,2025-07-25,1.35,1.63,,2025-07-25,6018.0,7893.0,1875.0
2025-07-24,1.6515,1.5759,1.6924,,2025-07-24,1.6012,,2025-07-24,1.6,,2025-07-24,1.09,1.575,,2025-07-24,-1195.0,3310.0,4505.0
