序号,起始日期,截止日期,总发行量(亿元),发行只数,总偿还量(亿元),净融资额(亿元),到期偿还量(亿元),到期只数,提前兑付量(亿元),提前兑付只数,回售量(亿元),回售只数,赎回量(亿元),赎回只数,现金要约金额(亿元),现金要约只数
1,2025-08-18,2025-08-18,340.0,5,20.0,320.0,20.0,1,0,0,0,0,0,0,0,0
2,2025-08-17,2025-08-17,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,2025-08-16,2025-08-16,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,2025-08-15,2025-08-15,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,2025-08-14,2025-08-14,2250.0,7,956.4,1293.6,956.4,2,0,0,0,0,0,0,0,0
6,2025-08-13,2025-08-13,855.0,5,0.0,855.0,0.0,0,0,0,0,0,0,0,0,0
7,2025-08-12,2025-08-12,395.0,5,90.9,304.1,90.9,1,0,0,0,0,0,0,0,0
8,2025-08-11,2025-08-11,1142.6,7,20.0,1122.6,20.0,1,0,0,0,0,0,0,0,0
9,2025-08-10,2025-08-10,240.0,2,500.0,-260.0,500.0,2,0,0,0,0,0,0,0,0
10,2025-08-09,2025-08-09,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,2025-08-08,2025-08-08,2080.0,2,0.0,2080.0,0.0,0,0,0,0,0,0,0,0,0
12,2025-08-07,2025-08-07,450.0,5,800.0,-350.0,800.0,2,0,0,0,0,0,0,0,0
13,2025-08-06,2025-08-06,2885.5,10,0.0,2885.5,0.0,0,0,0,0,0,0,0,0,0
14,2025-08-05,2025-08-05,395.0,5,0.0,395.0,0.0,0,0,0,0,0,0,0,0,0
15,2025-08-04,2025-08-04,380.0,6,0.0,380.0,0.0,0,0,0,0,0,0,0,0,0
16,2025-08-03,2025-08-03,0.0,0,45.0,-45.0,45.0,1,0,0,0,0,0,0,0,0
17,2025-08-02,2025-08-02,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
18,2025-08-01,2025-08-01,1852.6,3,0.0,1852.6,0.0,0,0,0,0,0,0,0,0,0
19,2025-07-31,2025-07-31,430.0,5,200.4,229.6,200.4,1,0,0,0,0,0,0,0,0
20,2025-07-30,2025-07-30,330.0,3,0.0,330.0,0.0,0,0,0,0,0,0,0,0,0
21,2025-07-29,2025-07-29,380.0,6,0.0,380.0,0.0,0,0,0,0,0,0,0,0,0
22,2025-07-28,2025-07-28,360.0,5,0.0,360.0,0.0,0,0,0,0,0,0,0,0,0
23,2025-07-27,2025-07-27,0.0,0,888.8,-888.8,888.8,1,0,0,0,0,0,0,0,0
24,2025-07-26,2025-07-26,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
25,2025-07-25,2025-07-25,0.0,0,5043.1,-5043.1,5043.1,3,0,0,0,0,0,0,0,0
26,2025-07-24,2025-07-24,3638.4,8,0.0,3638.4,0.0,0,0,0,0,0,0,0,0,0
27,2025-07-23,2025-07-23,1232.1,5,80.0,1152.1,80.0,1,0,0,0,0,0,0,0,0
28,2025-07-22,2025-07-22,410.0,5,466.0,-56.0,460.0,2,0,0,6,1,0,0,0,0
29,2025-07-21,2025-07-21,360.0,5,0.0,360.0,0.0,0,0,0,0,0,0,0,0,0
30,2025-07-20,2025-07-20,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,2025-07-19,2025-07-19,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,2025-07-18,2025-07-18,20.0,1,0.0,20.0,0.0,0,0,0,0,0,0,0,0,0
33,2025-07-17,2025-07-17,480.0,5,951.6,-471.6,951.6,2,0,0,0,0,0,0,0,0
34,2025-07-16,2025-07-16,1232.1,5,900.0,332.1,900.0,1,0,0,0,0,0,0,0,0
35,2025-07-15,2025-07-15,430.0,6,0.0,430.0,0.0,0,0,0,0,0,0,0,0,0
36,2025-07-14,2025-07-14,1891.0,8,2273.8,-382.8,2273.8,1,0,0,0,0,0,0,0,0
37,2025-07-13,2025-07-13,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
38,2025-07-12,2025-07-12,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
39,2025-07-11,2025-07-11,2482.1,2,0.0,2482.1,0.0,0,0,0,0,0,0,0,0,0
40,2025-07-10,2025-07-10,990.0,9,1000.7,-10.7,1000.7,3,0,0,0,0,0,0,0,0
41,2025-07-09,2025-07-09,330.0,3,0.0,330.0,0.0,0,0,0,0,0,0,0,0,0
42,2025-07-08,2025-07-08,410.0,5,0.0,410.0,0.0,0,0,0,0,0,0,0,0,0
43,2025-07-07,2025-07-07,370.0,6,60.0,310.0,60.0,1,0,0,0,0,0,0,0,0
44,2025-07-06,2025-07-06,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
45,2025-07-05,2025-07-05,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
46,2025-07-04,2025-07-04,2440.0,3,0.0,2440.0,0.0,0,0,0,0,0,0,0,0,0
47,2025-07-03,2025-07-03,500.0,6,801.5,-301.5,801.5,2,0,0,0,0,0,0,0,0
48,2025-07-02,2025-07-02,730.8,5,60.0,670.8,60.0,1,0,0,0,0,0,0,0,0
49,2025-07-01,2025-07-01,490.0,7,0.0,490.0,0.0,0,0,0,0,0,0,0,0,0
50,2025-06-30,2025-06-30,250.0,3,0.0,250.0,0.0,0,0,0,0,0,0,0,0,0
51,2025-06-29,2025-06-29,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
52,2025-06-28,2025-06-28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
53,2025-06-27,2025-06-27,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
54,2025-06-26,2025-06-26,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
55,2025-06-25,2025-06-25,340.0,3,0.0,340.0,0.0,0,0,0,0,0,0,0,0,0
56,2025-06-24,2025-06-24,1530.0,7,57.0,1473.0,0.0,0,0,0,57,1,0,0,0,0
57,2025-06-23,2025-06-23,390.0,6,0.0,390.0,0.0,0,0,0,0,0,0,0,0,0
58,2025-06-22,2025-06-22,0.0,0,984.2,-984.2,984.2,1,0,0,0,0,0,0,0,0
59,2025-06-21,2025-06-21,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
60,2025-06-20,2025-06-20,2200.0,2,0.0,2200.0,0.0,0,0,0,0,0,0,0,0,0
61,2025-06-19,2025-06-19,470.0,5,2957.1,-2487.1,2957.1,3,0,0,0,0,0,0,0,0
62,2025-06-18,2025-06-18,2507.8,6,0.0,2507.8,0.0,0,0,0,0,0,0,0,0,0
63,2025-06-17,2025-06-17,400.0,5,0.0,400.0,0.0,0,0,0,0,0,0,0,0,0
64,2025-06-16,2025-06-16,350.0,5,0.0,350.0,0.0,0,0,0,0,0,0,0,0,0
65,2025-06-15,2025-06-15,0.0,0,2797.9,-2797.9,2797.9,1,0,0,0,0,0,0,0,0
66,2025-06-14,2025-06-14,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
67,2025-06-13,2025-06-13,3495.8,3,60.0,3435.8,60.0,1,0,0,0,0,0,0,0,0
68,2025-06-12,2025-06-12,540.0,6,1159.9,-619.9,1159.9,3,0,0,0,0,0,0,0,0
69,2025-06-11,2025-06-11,2977.6,7,0.0,2977.6,0.0,0,0,0,0,0,0,0,0,0
70,2025-06-10,2025-06-10,930.0,7,919.0,11.0,919.0,1,0,0,0,0,0,0,0,0
71,2025-06-09,2025-06-09,390.0,6,40.0,350.0,40.0,1,0,0,0,0,0,0,0,0
72,2025-06-08,2025-06-08,0.0,0,700.0,-700.0,700.0,1,0,0,0,0,0,0,0,0
73,2025-06-07,2025-06-07,0.0,0,1230.1,-1230.1,1230.1,1,0,0,0,0,0,0,0,0
74,2025-06-06,2025-06-06,1710.0,2,0.0,1710.0,0.0,0,0,0,0,0,0,0,0,0
75,2025-06-05,2025-06-05,640.0,8,751.5,-111.5,751.5,2,0,0,0,0,0,0,0,0
76,2025-06-04,2025-06-04,2616.8,9,0.0,2616.8,0.0,0,0,0,0,0,0,0,0,0
77,2025-06-03,2025-06-03,80.0,3,120.0,-40.0,120.0,1,0,0,0,0,0,0,0,0
78,2025-06-02,2025-06-02,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
79,2025-06-01,2025-06-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
80,2025-05-31,2025-05-31,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
81,2025-05-30,2025-05-30,0.0,0,360.0,-360.0,360.0,1,0,0,0,0,0,0,0,0
82,2025-05-29,2025-05-29,585.0,7,0.0,585.0,0.0,0,0,0,0,0,0,0,0,0
83,2025-05-28,2025-05-28,280.0,3,0.0,280.0,0.0,0,0,0,0,0,0,0,0,0
84,2025-05-27,2025-05-27,430.0,6,0.0,430.0,0.0,0,0,0,0,0,0,0,0,0
