时间,中国:日均产量:粗钢,唐山:高炉开工率,中国:江浙地区:开工率:涤纶长丝:下游织机,中国:开工率:汽车轮胎(全钢胎),中国:开工率:汽车轮胎(半钢胎),义乌中国小商品指数:总价格指数,"中国:日均销量(当周,厂家零售):乘用车",中国:票房收入:电影,中国:30大中城市:成交面积:商品房,中国:100大中城市:成交土地占地面积:当周值,中国:开工率:石油沥青装置,中国:水泥价格指数,中国出口集装箱运价指数:综合指数,上海出口集装箱运价指数:综合指数,波罗的海货运指数,中国食用农产品价格指数,中国:平均批发价:猪肉,中国:生产资料价格指数,期货结算价(连续):布伦特原油
2025-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0,2067.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0,14923.06,16.57,0.0,32.9,103.42,0.0,0.0,0.0,0.0,20.25,0.0,65.63
2025-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0,15753.81,18.09,0.0,0.0,103.68,0.0,0.0,0.0,0.0,20.26,0.0,66.12
2025-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0,16839.2,18.1,0.0,0.0,103.81,0.0,0.0,0.0,0.0,20.2,0.0,66.63
2025-08-10,0.0,0.0,0.0,0.0,0.0,0.0,45207,33852.53,15.33,1032.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0,33878.09,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-08,0.0,92.55,0.0,0.0,0.0,0.0,0,23102.01,23.48,0.0,0.0,103.83,1200.73,1489.68,2203.4,0.0,20.41,0.0,66.59
2025-08-07,0.0,0.0,55.75,61.0,74.35,0.0,0,16237.06,19.87,0.0,0.0,103.83,0.0,0.0,0.0,0.0,20.45,0.0,66.43
2025-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0,16959.71,20.11,0.0,31.7,103.84,0.0,0.0,0.0,0.0,20.67,0.0,66.89
2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0,18075.82,20.34,0.0,0.0,103.75,0.0,0.0,0.0,0.0,20.33,0.0,67.64
2025-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0,19225.7,17.5,0.0,0.0,103.71,0.0,0.0,0.0,0.0,20.33,0.0,68.76
