feature,mean_abs_shap
lpr_5y,29.296204
macro_week__中国:水泥价格指数,7.5935736
macro_week__期货结算价(连续):布伦特原油,7.395487
其他,6.325012
银行,5.799773
理财子,4.5838475
macro_week__中国:平均批发价:猪肉,3.8446603
券商,2.8074574
保险,2.76734
基金,2.6460545
macro_day__总发行量(亿元),2.6398113
omo_withdraw,2.6170125
omo_inject,1.907466
lpr_1y,1.6188823
omo_net,1.3510139
macro_week__中国:票房收入:电影,1.2960349
macro_week__中国:30大中城市:成交面积:商品房,1.1777292
macro_week__中国:开工率:石油沥青装置,1.0512116
macro_day__净融资额(亿元),0.85509795
macro_week__唐山:高炉开工率,0.753934
macro_week__中国:开工率:汽车轮胎(半钢胎),0.6902295
macro_day__发行只数,0.67477214
macro_week__中国:日均产量:粗钢,0.44895932
macro_day__到期只数,0.39867243
macro_day__总偿还量(亿元),0.33044732
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.20225751
macro_week__中国:生产资料价格指数,0.19720894
macro_week__上海出口集装箱运价指数:综合指数,0.19227624
macro_week__中国:开工率:汽车轮胎(全钢胎),0.19166876
macro_week__中国出口集装箱运价指数:综合指数,0.18040639
net_financing_total,0.09825246
macro_week__波罗的海货运指数,0.08829894
macro_day__到期偿还量(亿元),0.08387683
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.060077056
macro_week__中国食用农产品价格指数,0.03683304
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.012526056
macro_week__义乌中国小商品指数:总价格指数,0.0034828722
macro_day__现金要约金额(亿元),0.0
macro_day__赎回只数,0.0
macro_day__赎回量(亿元),0.0
macro_day__回售只数,0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__现金要约只数,0.0
