feature,mean_abs_shap
基金,10.384218
其他,9.546977
macro_week__中国:30大中城市:成交面积:商品房,8.111816
保险,7.864226
macro_week__中国:水泥价格指数,7.445701
omo_withdraw,4.533698
银行,4.155058
券商,4.0663114
omo_net,4.0427537
理财子,3.4920137
macro_day__总发行量(亿元),3.4447234
macro_week__中国:票房收入:电影,3.3904476
macro_week__期货结算价(连续):布伦特原油,2.757827
omo_inject,2.6734014
macro_day__净融资额(亿元),2.4805686
macro_day__总偿还量(亿元),2.3196955
lpr_5y,2.0347013
macro_week__中国:平均批发价:猪肉,1.8317422
macro_week__义乌中国小商品指数:总价格指数,1.3825375
macro_day__发行只数,1.1161853
macro_week__唐山:高炉开工率,0.9756745
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.74232733
macro_week__中国:开工率:汽车轮胎(半钢胎),0.6132701
macro_week__中国:开工率:汽车轮胎(全钢胎),0.6083517
macro_week__中国:开工率:石油沥青装置,0.4759074
macro_week__中国:生产资料价格指数,0.4403944
net_financing_total,0.26525372
macro_week__中国:日均产量:粗钢,0.26003316
lpr_1y,0.22241545
macro_day__到期只数,0.21484904
macro_week__上海出口集装箱运价指数:综合指数,0.201805
macro_week__中国出口集装箱运价指数:综合指数,0.19063441
macro_day__到期偿还量(亿元),0.17630298
macro_week__中国食用农产品价格指数,0.14980967
macro_week__波罗的海货运指数,0.09372904
macro_day__赎回量(亿元),0.02608523
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.012964225
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.008592263
macro_day__赎回只数,0.0024571572
macro_day__现金要约金额(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__现金要约只数,0.0
