feature,mean_abs_shap
lpr_5y,22.260366
macro_week__中国:30大中城市:成交面积:商品房,19.702772
其他,15.481085
银行,10.77703
基金,9.1210375
保险,8.300974
券商,7.476786
omo_inject,7.4509006
macro_week__期货结算价(连续):布伦特原油,6.572985
macro_week__中国:平均批发价:猪肉,6.0520396
macro_day__总发行量(亿元),4.196174
macro_week__中国:票房收入:电影,3.6347642
理财子,2.8795307
omo_withdraw,2.873973
omo_net,2.792152
macro_week__中国:水泥价格指数,2.752369
macro_day__净融资额(亿元),2.4796996
macro_week__波罗的海货运指数,2.4141488
macro_day__总偿还量(亿元),2.165177
macro_week__中国:开工率:石油沥青装置,1.6688874
macro_week__唐山:高炉开工率,1.2254617
macro_week__中国出口集装箱运价指数:综合指数,1.211929
macro_week__中国食用农产品价格指数,0.81543976
macro_day__发行只数,0.8133701
macro_day__到期偿还量(亿元),0.7291568
macro_week__中国:开工率:汽车轮胎(半钢胎),0.6270562
lpr_1y,0.5890887
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.48667896
macro_week__中国:生产资料价格指数,0.4313842
macro_day__到期只数,0.346765
macro_week__上海出口集装箱运价指数:综合指数,0.27338353
macro_week__中国:开工率:汽车轮胎(全钢胎),0.2358855
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.21687843
macro_week__中国:日均产量:粗钢,0.20645273
macro_day__赎回量(亿元),0.12494463
macro_week__义乌中国小商品指数:总价格指数,0.05889988
net_financing_total,0.02242978
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.01695062
macro_day__赎回只数,0.009670494
macro_day__现金要约金额(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__现金要约只数,0.0
