feature,mean_abs_shap
lpr_5y,1.6525213
保险,1.2438562
基金,0.6839524
其他,0.6456121
macro_week__中国:30大中城市:成交面积:商品房,0.4963682
macro_week__期货结算价(连续):布伦特原油,0.4891452
macro_day__总发行量(亿元),0.47080144
银行,0.43840286
券商,0.41970983
omo_withdraw,0.3067508
macro_week__中国:水泥价格指数,0.2854231
omo_net,0.25579917
omo_inject,0.19292276
macro_week__中国:票房收入:电影,0.19236816
macro_week__唐山:高炉开工率,0.16206335
macro_day__净融资额(亿元),0.15623884
macro_week__中国:平均批发价:猪肉,0.14425142
macro_week__中国:开工率:汽车轮胎(半钢胎),0.1347542
理财子,0.13229337
macro_day__发行只数,0.099985644
macro_week__中国:开工率:石油沥青装置,0.09358471
macro_day__总偿还量(亿元),0.093067445
macro_week__中国出口集装箱运价指数:综合指数,0.08487735
macro_week__中国:日均产量:粗钢,0.05642222
macro_day__到期只数,0.043983825
macro_week__波罗的海货运指数,0.040996272
macro_week__上海出口集装箱运价指数:综合指数,0.0400114
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.029865729
lpr_1y,0.02778122
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.026492711
net_financing_total,0.024090992
macro_day__到期偿还量(亿元),0.0153864445
macro_week__中国:开工率:汽车轮胎(全钢胎),0.011080454
macro_day__赎回量(亿元),0.009210096
macro_week__中国:生产资料价格指数,0.006166821
macro_week__中国食用农产品价格指数,0.0043242816
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0029713025
macro_week__义乌中国小商品指数:总价格指数,0.0027628946
macro_day__赎回只数,0.002744877
macro_day__现金要约金额(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__现金要约只数,0.0
