feature,mean_abs_shap
lpr_5y,58.920162
macro_week__中国:30大中城市:成交面积:商品房,29.91574
其他,23.072992
基金,20.83619
保险,16.62443
银行,14.019665
macro_week__期货结算价(连续):布伦特原油,9.943667
券商,9.941015
omo_net,9.224781
macro_day__总发行量(亿元),8.699456
macro_week__中国:水泥价格指数,8.601154
macro_week__中国:票房收入:电影,8.3224745
omo_inject,8.065932
macro_week__中国:平均批发价:猪肉,5.4991994
omo_withdraw,5.2640824
lpr_1y,5.228204
理财子,3.4716148
macro_week__唐山:高炉开工率,2.6936235
macro_week__中国:开工率:石油沥青装置,2.345676
macro_day__净融资额(亿元),2.1065545
macro_day__发行只数,1.7418401
macro_day__总偿还量(亿元),1.6280305
macro_week__中国:100大中城市:成交土地占地面积:当周值,1.5751964
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,1.5689881
macro_day__到期只数,1.1502179
macro_week__上海出口集装箱运价指数:综合指数,0.80872345
macro_week__中国出口集装箱运价指数:综合指数,0.808428
macro_week__波罗的海货运指数,0.7484356
macro_week__中国:开工率:汽车轮胎(半钢胎),0.7324742
net_financing_total,0.56530714
macro_week__中国食用农产品价格指数,0.56515175
macro_week__中国:日均产量:粗钢,0.5644286
macro_day__到期偿还量(亿元),0.3454655
macro_day__赎回量(亿元),0.22005086
macro_week__中国:生产资料价格指数,0.19601461
macro_week__义乌中国小商品指数:总价格指数,0.19517177
macro_week__中国:开工率:汽车轮胎(全钢胎),0.1716379
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.08911082
macro_day__赎回只数,0.028411344
macro_day__现金要约金额(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__现金要约只数,0.0
