feature,mean_abs_shap
dr001,0.07486689
lpr_1y,0.03685115
macro_week__中国:平均批发价:猪肉,0.033692848
lpr_5y,0.02625616
gc001,0.024195455
gc007,0.021207636
macro_week__期货结算价(连续):布伦特原油,0.018755522
omo_withdraw,0.018006036
macro_week__中国:水泥价格指数,0.015899062
macro_week__中国:票房收入:电影,0.0154899135
spread_r007_dr007,0.013732984
macro_day__净融资额(亿元),0.01334392
macro_week__中国:30大中城市:成交面积:商品房,0.012545277
r001,0.010649799
dr007,0.010168023
spread_fr007_r007,0.009338886
omo_net,0.008743306
r007,0.008453318
omo_inject,0.008432199
fr007,0.008203212
spread_gc007_r007,0.0069639375
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0052175475
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0051985453
macro_day__总发行量(亿元),0.004483061
macro_day__总偿还量(亿元),0.003133538
macro_week__中国:开工率:石油沥青装置,0.0026836698
macro_day__发行只数,0.0026672282
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0023004462
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0021293561
macro_week__唐山:高炉开工率,0.0021158056
macro_week__中国:日均产量:粗钢,0.0017566166
net_financing_total,0.0014170099
macro_week__中国食用农产品价格指数,0.0013162667
macro_day__到期偿还量(亿元),0.0011331259
macro_week__中国:生产资料价格指数,0.0009102935
macro_week__上海出口集装箱运价指数:综合指数,0.0007012277
macro_week__中国出口集装箱运价指数:综合指数,0.00052725815
macro_week__义乌中国小商品指数:总价格指数,0.00038432048
macro_day__到期只数,0.0002895391
macro_week__波罗的海货运指数,0.00025495174
macro_week__中国:100大中城市:成交土地占地面积:当周值,2.1465485e-05
macro_day__现金要约只数,0.0
macro_day__赎回量(亿元),0.0
macro_day__赎回只数,0.0
macro_day__现金要约金额(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__提前兑付只数,0.0
macro_day__回售量(亿元),0.0
