feature,mean_abs_shap
r007,0.113459505
omo_withdraw,0.039509267
macro_week__期货结算价(连续):布伦特原油,0.037420217
macro_week__中国:票房收入:电影,0.03653619
macro_week__中国:30大中城市:成交面积:商品房,0.03455029
gc001,0.026648773
gc007,0.025810434
omo_inject,0.016022816
fr007,0.015553457
macro_week__中国:水泥价格指数,0.015486454
omo_net,0.01371262
spread_fr007_r007,0.012814212
macro_week__中国:平均批发价:猪肉,0.011590259
spread_r007_dr007,0.009798071
dr001,0.009348092
spread_gc007_r007,0.007765862
macro_day__总发行量(亿元),0.007523881
r001,0.006620295
macro_day__总偿还量(亿元),0.0063750497
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.005781435
macro_day__净融资额(亿元),0.0056419894
dr007,0.005549131
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0045601223
lpr_1y,0.0041988255
lpr_5y,0.00227778
macro_week__唐山:高炉开工率,0.002223679
macro_day__发行只数,0.0022220297
macro_week__中国出口集装箱运价指数:综合指数,0.0021020018
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0017177049
macro_week__中国:开工率:石油沥青装置,0.0015528946
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.001418925
net_financing_total,0.0012623707
macro_week__中国:日均产量:粗钢,0.0012521057
macro_day__到期偿还量(亿元),0.00088361354
macro_week__波罗的海货运指数,0.00046961405
macro_day__到期只数,0.00025617852
macro_week__上海出口集装箱运价指数:综合指数,0.00019274435
macro_week__中国食用农产品价格指数,0.00016826169
macro_week__中国:生产资料价格指数,0.00016032874
macro_week__中国:100大中城市:成交土地占地面积:当周值,6.8443595e-05
macro_week__义乌中国小商品指数:总价格指数,5.8322985e-05
macro_day__赎回量(亿元),4.7232523e-05
macro_day__现金要约只数,0.0
macro_day__赎回只数,0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__现金要约金额(亿元),0.0
