feature,mean_abs_shap
r007,0.10109158
omo_inject,0.09916615
macro_week__期货结算价(连续):布伦特原油,0.096340925
gc007,0.06268925
macro_week__中国:水泥价格指数,0.05266397
gc001,0.051887985
macro_week__中国:平均批发价:猪肉,0.042061653
omo_withdraw,0.04044333
macro_day__总偿还量(亿元),0.023458023
omo_net,0.02338252
lpr_5y,0.022571126
spread_gc007_r007,0.020428473
macro_week__中国:30大中城市:成交面积:商品房,0.020070186
macro_day__总发行量(亿元),0.018598538
dr007,0.018186271
dr001,0.010797081
macro_week__中国:票房收入:电影,0.0103663625
fr007,0.0101771625
macro_week__唐山:高炉开工率,0.009333016
spread_fr007_r007,0.007551098
macro_week__中国:日均产量:粗钢,0.0071366765
macro_day__净融资额(亿元),0.0064653433
macro_day__发行只数,0.005567268
spread_r007_dr007,0.00555342
r001,0.0039697164
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0039475677
macro_week__中国:开工率:石油沥青装置,0.00328158
macro_day__到期偿还量(亿元),0.0032404915
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0030343784
lpr_1y,0.0029392468
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0025337378
macro_week__中国食用农产品价格指数,0.0022978366
macro_week__上海出口集装箱运价指数:综合指数,0.0017254561
macro_week__中国出口集装箱运价指数:综合指数,0.0011638056
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.00096602796
macro_week__中国:生产资料价格指数,0.00076312205
macro_week__波罗的海货运指数,0.00067568634
macro_day__到期只数,0.0005688963
net_financing_total,0.0005355555
macro_week__义乌中国小商品指数:总价格指数,0.00037432954
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.00026658954
macro_day__赎回量(亿元),3.9308616e-06
macro_day__现金要约只数,0.0
macro_day__赎回只数,0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__现金要约金额(亿元),0.0
