feature,mean_abs_shap
r007,0.115073256
macro_week__中国:30大中城市:成交面积:商品房,0.04260391
macro_week__期货结算价(连续):布伦特原油,0.03696652
omo_withdraw,0.036804765
macro_week__中国:水泥价格指数,0.035569035
dr007,0.034468766
macro_week__中国:票房收入:电影,0.027212586
gc007,0.02611772
gc001,0.02370052
omo_inject,0.020818532
omo_net,0.020489182
macro_week__中国:平均批发价:猪肉,0.015445767
spread_r007_dr007,0.014058333
fr007,0.008796951
spread_fr007_r007,0.008774975
dr001,0.008747896
r001,0.008002004
lpr_5y,0.0072258045
macro_day__总发行量(亿元),0.0066229412
macro_week__中国:开工率:汽车轮胎(全钢胎),0.006579464
lpr_1y,0.00644795
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0062354137
macro_day__总偿还量(亿元),0.005795979
macro_day__发行只数,0.0056024855
macro_day__净融资额(亿元),0.005410281
spread_gc007_r007,0.0052745785
macro_week__唐山:高炉开工率,0.0033370384
macro_week__中国:开工率:石油沥青装置,0.0031833674
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0024983336
macro_day__到期只数,0.0020478305
macro_week__中国出口集装箱运价指数:综合指数,0.0019059901
macro_week__中国:日均产量:粗钢,0.001443624
macro_week__波罗的海货运指数,0.0011237718
net_financing_total,0.0010888171
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0010776431
macro_week__上海出口集装箱运价指数:综合指数,0.0008690209
macro_day__到期偿还量(亿元),0.00081688043
macro_week__中国食用农产品价格指数,0.0007633766
macro_week__中国:生产资料价格指数,0.00064014504
macro_day__赎回量(亿元),0.00010753547
macro_week__义乌中国小商品指数:总价格指数,5.299674e-05
macro_week__中国:100大中城市:成交土地占地面积:当周值,2.0788062e-05
macro_day__赎回只数,1.8858413e-05
macro_day__现金要约只数,0.0
macro_day__现金要约金额(亿元),0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_day__回售量(亿元),0.0
