feature,mean_abs_shap
gc007,0.02027667
macro_week__中国:水泥价格指数,0.01695471
omo_net,0.014088275
macro_week__期货结算价(连续):布伦特原油,0.009508254
gc001,0.008884483
macro_week__中国:票房收入:电影,0.008214154
omo_withdraw,0.006458286
macro_day__发行只数,0.005722571
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0049594874
spread_r007_dr007,0.004942385
spread_fr007_r007,0.0048010694
macro_week__中国:平均批发价:猪肉,0.0043828627
r001,0.004156676
dr007,0.0038080616
macro_week__中国:30大中城市:成交面积:商品房,0.0034704742
macro_day__总发行量(亿元),0.0034638983
spread_gc007_r007,0.0033401211
lpr_1y,0.0031423345
macro_day__净融资额(亿元),0.0030431652
macro_day__到期偿还量(亿元),0.002594768
macro_day__总偿还量(亿元),0.00255451
macro_week__中国:开工率:石油沥青装置,0.0023960797
omo_inject,0.0019743615
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0018932757
macro_day__赎回量(亿元),0.0018331916
macro_week__唐山:高炉开工率,0.001770424
r007,0.0017660318
fr007,0.0017624493
dr001,0.0015860387
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0014663899
macro_week__波罗的海货运指数,0.0010587644
macro_week__中国出口集装箱运价指数:综合指数,0.0010514638
macro_week__中国:生产资料价格指数,0.0009792151
macro_week__上海出口集装箱运价指数:综合指数,0.000704247
lpr_5y,0.00061295606
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0005971657
macro_week__中国食用农产品价格指数,0.000560023
macro_day__到期只数,0.0004619886
net_financing_total,0.0004380859
macro_week__中国:日均产量:粗钢,0.00018756089
macro_day__赎回只数,0.00016693791
macro_week__中国:100大中城市:成交土地占地面积:当周值,1.952395e-05
macro_day__现金要约金额(亿元),0.0
macro_day__现金要约只数,0.0
macro_day__回售量(亿元),0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售只数,0.0
macro_week__义乌中国小商品指数:总价格指数,0.0
