feature,mean_abs_shap
gc001,0.07421221
omo_inject,0.060363326
macro_week__中国:平均批发价:猪肉,0.056725144
macro_week__中国:水泥价格指数,0.052481953
spread_gc007_r007,0.050859313
gc007,0.037953846
macro_week__期货结算价(连续):布伦特原油,0.034434833
macro_week__中国:票房收入:电影,0.030930456
macro_week__中国:30大中城市:成交面积:商品房,0.028618501
macro_day__总发行量(亿元),0.02854275
omo_net,0.028216349
macro_day__总偿还量(亿元),0.026590953
macro_week__中国:开工率:汽车轮胎(全钢胎),0.022271799
r007,0.022012284
spread_fr007_r007,0.015675135
spread_r007_dr007,0.01434116
dr007,0.013691498
macro_day__发行只数,0.013033153
fr007,0.0116387345
dr001,0.011425781
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.010870741
omo_withdraw,0.009339684
macro_week__中国:开工率:石油沥青装置,0.009146428
macro_week__唐山:高炉开工率,0.008072191
r001,0.0070132962
macro_day__净融资额(亿元),0.0055863033
macro_week__中国:日均产量:粗钢,0.005178879
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0038257637
macro_day__到期偿还量(亿元),0.0023012166
macro_day__到期只数,0.002242831
macro_week__中国:开工率:汽车轮胎(半钢胎),0.002066399
macro_week__上海出口集装箱运价指数:综合指数,0.0019184662
net_financing_total,0.0017551299
lpr_1y,0.0015126776
lpr_5y,0.0012717316
macro_week__中国食用农产品价格指数,0.0010587323
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.0008162719
macro_week__中国:生产资料价格指数,0.00078404526
macro_week__中国出口集装箱运价指数:综合指数,0.0007795065
macro_week__波罗的海货运指数,0.0004163465
macro_week__义乌中国小商品指数:总价格指数,5.855138e-05
macro_day__现金要约只数,0.0
macro_day__赎回量(亿元),0.0
macro_day__赎回只数,0.0
macro_day__现金要约金额(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__提前兑付只数,0.0
macro_day__回售量(亿元),0.0
