feature,mean_abs_shap
omo_withdraw,0.059239443
macro_week__中国:票房收入:电影,0.03525083
spread_r007_dr007,0.034699388
lpr_5y,0.019697847
macro_week__中国:30大中城市:成交面积:商品房,0.017040681
omo_inject,0.014157382
gc007,0.012416468
macro_day__总发行量(亿元),0.010805511
macro_week__中国:水泥价格指数,0.0107684005
gc001,0.010690995
spread_fr007_r007,0.010203187
macro_week__期货结算价(连续):布伦特原油,0.010091012
omo_net,0.008828477
macro_week__唐山:高炉开工率,0.008742624
r007,0.008361414
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0074251145
r001,0.0070314547
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0066380105
macro_day__净融资额(亿元),0.0065043764
dr007,0.0064184996
dr001,0.005518695
spread_gc007_r007,0.005429282
macro_week__中国:平均批发价:猪肉,0.0052986643
macro_week__中国:开工率:汽车轮胎(全钢胎),0.004414344
macro_day__总偿还量(亿元),0.004280967
fr007,0.0042306916
macro_week__中国:开工率:石油沥青装置,0.0032835016
macro_day__发行只数,0.002072855
macro_week__中国:生产资料价格指数,0.0019132368
macro_day__到期只数,0.0018992333
lpr_1y,0.0016833409
macro_week__上海出口集装箱运价指数:综合指数,0.0015278996
macro_week__波罗的海货运指数,0.0011253596
net_financing_total,0.0010175097
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.00084127916
macro_week__中国:日均产量:粗钢,0.00082768453
macro_week__中国食用农产品价格指数,0.00078544725
macro_week__中国出口集装箱运价指数:综合指数,0.0006306936
macro_day__到期偿还量(亿元),0.0002814542
macro_week__义乌中国小商品指数:总价格指数,5.008134e-05
macro_day__赎回量(亿元),3.815235e-05
macro_week__中国:100大中城市:成交土地占地面积:当周值,2.3439314e-05
macro_day__现金要约只数,0.0
macro_day__赎回只数,0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__现金要约金额(亿元),0.0
