feature,mean_abs_shap
yield_10y,0.31098267
lpr_1y,0.10116151
feat__yield_10y__lag1,0.07294659
feat__yield_10y__lag5,0.054870035
stage1_pred__demand__保险__t+20,0.013704678
stage1_pred__liquidity__dr007__t+20,0.009535818
stage1_pred__demand__其他__t+20,0.008355768
lpr_5y,0.0076088496
omo_inject,0.007534119
stage1_pred__demand__理财子__t+20,0.0052991356
omo_withdraw,0.005123713
stage1_pred__demand__基金__t+20,0.004721821
stage1_pred__demand__银行__t+20,0.00438371
stage1_pred__liquidity__r001__t+20,0.004273681
stage1_pred__liquidity__dr001__t+20,0.0039771358
stage1_pred__liquidity__spread_r007_dr007__t+20,0.0038110297
stage1_pred__liquidity__spread_fr007_r007__t+20,0.0036479891
stage1_pred__liquidity__gc007__t+20,0.003227339
stage1_pred__liquidity__gc001__t+20,0.002854949
omo_net,0.0017730923
stage1_pred__liquidity__r007__t+20,0.0016754803
stage1_pred__liquidity__spread_gc007_r007__t+20,0.0015851699
stage1_pred__demand__券商__t+20,0.0014347817
stage1_pred__liquidity__fr007__t+20,0.0013298386
