feature,mean_abs_shap
feat__yield_10y__lag5,0.044502474
yield_10y,0.043364152
macro_week__中国:水泥价格指数,0.015573357
macro_week__中国:平均批发价:猪肉,0.01023757
macro_week__中国:30大中城市:成交面积:商品房,0.0086802095
macro_week__中国:票房收入:电影,0.007538501
feat__yield_10y__lag1,0.006951126
macro_week__期货结算价(连续):布伦特原油,0.004585651
trade__buy__policy_old,0.0039342353
trade__buy__gov_new,0.0035041391
trade__buy__policy_new,0.0016191327
trade__buy__gov_old,0.00107535
macro_day__总发行量(亿元),0.0010254998
trade__net__policy_old,0.00092564174
macro_day__发行只数,0.0009105133
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0008270453
macro_day__净融资额(亿元),0.000800109
macro_week__唐山:高炉开工率,0.0006769949
trade__sell__policy_old,0.0006194179
trade__net__gov_old,0.0005929334
macro_day__总偿还量(亿元),0.00054727664
macro_week__中国出口集装箱运价指数:综合指数,0.0005413994
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.0005083252
trade__net__policy_new,0.0003783371
trade__net__gov_new,0.00032406856
trade__sell__gov_new,0.00032389731
macro_week__中国食用农产品价格指数,0.0002562574
macro_week__波罗的海货运指数,0.00025070546
macro_week__中国:开工率:汽车轮胎(全钢胎),0.00018986396
macro_week__上海出口集装箱运价指数:综合指数,0.00017504799
trade__sell__gov_old,0.00016667937
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.00015525767
macro_week__中国:开工率:石油沥青装置,0.00010158213
trade__sell__policy_new,9.888509e-05
macro_week__中国:日均产量:粗钢,8.729617e-05
macro_week__义乌中国小商品指数:总价格指数,7.617394e-05
macro_week__中国:生产资料价格指数,7.401473e-05
macro_day__到期偿还量(亿元),5.76801e-05
macro_day__到期只数,4.975256e-05
"macro_week__中国:日均销量(当周,厂家零售):乘用车",4.9729108e-05
macro_day__现金要约只数,0.0
macro_day__现金要约金额(亿元),0.0
macro_day__赎回只数,0.0
macro_day__赎回量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
