feature_name,source_file,source_table,role,stage,frequency,fill_method,used_in_dataset,notes
date,generated,date index (from target date frame),component_feature,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
保险,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
其他,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
券商,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
基金,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
理财子,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
银行,data/现券成交分机构统计2024*~2025*.xlsx,demand_wide.csv,component_feature,stage1_demand,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__保险__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__其他__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__券商__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__基金__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
label__demand__理财子__t+20,generated,labels,component_target,stage1_demand,daily,none,/workspaces/Bond-Yield-Prediction/outputs/stage1/demand_component_dataset_full.csv,Stage-1 component dataset for demand forecasting (分量预测：需求面).
